id,titre,texte
1,"Balé : Une association assainit des services publics de Bagassi","Burkina-Balé-Citoyenné Assainissement
Balé : Une association assainit des services publics de Bagassi
Bagassi, 24 sept. 2025 (AIB)– Les membres de l’Association des jeunes solidaires pour le progrès (AJSP), appuyés par la brigade verte de la mairie de Bagassi ont organisé samedi 21 septembre 2025, une journée de salubrité dans les locaux du CSPS et de l’inspection de l’éducation de base de la commune.

Le CSPS de Bagassi et le service de l’inspection de l’éducation sont les deux sites ayant bénéficié de cette action citoyenne.

À l’inspection, les travaux ont porté à la fois sur l’assainissement de la cour et le nettoyage minutieux de l’intérieur des bureaux. Balais, brouettes et houes en main, les jeunes ont redonné un cadre propre et accueillant à cet espace administratif.

À la demande du chef de la circonscription d’éducation de Base(CCEB), l’activité a été élargie à une opération de reboisement. Pour cela, les membres de l’AJSP ont bénéficié de l’appui technique du service de l’environnement.

Selon le président de l’AJSP, cette initiative vise à joindre la propreté à la protection de l’environnement.

Pour lui, ces actions citoyennes doivent être encouragées et multipliées pour améliorer le cadre de vie dans la commune.

La mairie qui a mis la brigade verte à contribution, a salué la mobilisation de la jeunesse. Pour sa part, le CCEB a exprimé sa satisfaction et encouragé la continuité de telles initiatives.

Dans une ambiance conviviale, les participants ont clôturé la journée avec le sentiment d’avoir accompli un geste utile pour la communauté.

Agence d’information du Burkina
JY/yos
"
2,"Balé: La commune de Fara a investi plus dans le domaine de l’environnement et l’eau entre 2022 et 2024","Balé: La commune de Fara a investi plus dans le domaine de l’environnement et l’eau entre 2022 et 2024
Fara: le 17 sept.2025 (AIB)- La Délégation Spéciale de la commune de Fara a tenue la 3e session de son cadre de Concertation le mercredi 17 septembre 2025.A cet effet les acteurs ont fait le bilan des investissements de la période de 2022 à 2024.

Cet espace de dialogue et de participation citoyenne pour la transparence dans la gestion des affaires de la commune a connu la participation des représentants des couches socio-professionnelles et du haut commissaire de la province,Martin Bako.

Le bilan des investissements de 2022, 2023 et 2024 a été présenté par le Sécrétaire général de la mairie, Mohamadi Zongo. Il ressort que 143.774.948 FCFA ont été injectés dans les domaines de l’ éducation, la santé, les infrastructures routières, les aménagements de bas-fond, de jardin, des lampadaires.

Ces investissements ont été assurés par le fond minier de développement local, le PGPC/REDD+, le budget communal et le PUDTR.

C’est le domaine de l’environnement et l’eau qui a enregistré plus d’investissement, suivi de l’éducation. Les chantiers en perspective sont entre autres les travaux de construction d’une salle de conférence à la mairie, la réalisation d’un parc à vaccination, les travaux de construction d’un plateau omnisports au stade communal Zonou Issa.

Après les différents bilans, des échanges interactifs ont contribué à éclairer et à sensibiliser les membres du cadre. Tous ont convenu que le développement endogène est le meilleur et ne peut être une réalité que lorsque les filles et fils de la commune s’uniront.

Pour une meilleure implication des populations au développement local, des recommandations ont été faites par les autorités locales.

Les filles et fils de la commune ont dit avoir pris bonne note puis ils ont pris l’engagement de mieux travailler à l’édification de la commune de Fara.
C’est le Préfet, président de la délégation spéciale de la commune, Aloys Ouango qui a prononcé le mot de bienvenue et d’ouverture de la session.

Le haut commissaire invité special du cadre, a exhorté la population à soutenir les initiatives du gouvernement et à apporter également des initiatives pour le développement local endogène prôné par les autorités de notre pays.

Agence d’Information du Burkina
EK//OM/yos"
3,"Dissihn : Domsèr accueille son premier directeur d’ecole","Burkina-Ioba-Education-Installation-Directeur

Dissihn : Domsèr accueille son premier directeur d’ecole

Dissihn, 22 sept. 2025 (AIB)-Le tout premier enseignant et Directeur de l’école de Domsèr dans la commune de Dissihn, en la personne de Joachim Bama a été accueilli avec joie par les populations, le lundi 22 septembre 2025.

La population de Domsèr est sortie nombreuse à l’occasion de l’installation du premier enseignant de l’école de la localité par l’inspecteur Yaonkirè Isidore Somé représentant le Chef de la circonscription d’éducation de base (CCEB) de Dissihn.
Le premier Directeur a promis mettre en œuvre la politique éducative nationale dans cette localité. Le chef de Domsèr a souhaité la bienvenue au premier enseignant affecté dans le village.

« Ne t’inquiète pas, à partir d’aujourd’hui tu es comme notre fils », a-t-il rassuré.
Le représentant du CCEB a félicité le directeur installé et lui a prodigué des conseils pour la réussite de sa nouvelle mission.

M. Bama a la lourde charge d’instruire les enfants de Domsèr qui jadis parcouraient 05 kilomètres pour acquérir le savoir. Les salles de classe n’étant pas encore construites, l’école fonctionnera sous paillote en attendant l’édification des bâtiments. La construction d’une infrastructure scolaire est prévue et la population a déjà rassemblé les agrégats.

Agence d’information du Burkina
JBD/sz/yos"
4,"Burkina/Conférence mondiale sur les femmes : Amélioration des conditions de vie des femmes, Le Burkina réitère son engagement","Burkina-Siège-Onu-Participation-Conférence-Mondiale-Femmes

Burkina/Conférence mondiale sur les femmes : Amélioration des conditions de vie des femmes, Le Burkina réitère son engagement 

Ouagadougou, 23 sept. 2025 (AIB)- La ministre de l’Action humanitaire et de la Solidarité nationale, Pélagie Kaboré, a porté haut la voix du Burkina et son engagement à continuer d’œuvrer pour offrir de meilleures conditions de vie aux femmes lors de la réunion de haut niveau sur le 30e anniversaire de la 4e conférence mondiale sur les femmes qui s’est tenue, à New York, au siège de l’ONU.

la ministre de l’Action humanitaire et de la Solidarité nationale, Pélagie Kaboré a livré un discours à la tribune de l’ONU, le lundi 22 septembre 2025, à New York, lors de la réunion de haut niveau sur le 30e anniversaire de la 4e conférence mondiale sur les femmes.

Dans son intervention, elle a relevé que le Burkina Faso a engagé des réformes structurelles en vue d’améliorer durablement les conditions de vie, en particulier celles des femmes. Conformément au programme d’action de Beijing, cet engagement s’est traduit par le renforcement du cadre juridique et institutionnel, ainsi que des initiatives visant l’autonomisation socio-économique des femmes et leur pleine participation aux sphères de décision.

A ses pairs, experts et aux personnes engagées pour de meilleures conditions de vie des femmes, Mme Kaboré a precisé que les actions entreprises ont permis des avancées significatives. Ainsi, a-t-elle explicité, dans le domaine de l’éducation, le taux brut de scolariation des filles a fortement progressé à tous les niveaux, avec une présence féminine croissante dans l’enseignement supérieur.

En matière de santé, elle a égelement fait savoir que la gratuité des soins pour les femmes enceintes, la hausse du taux des accouchements assistés qui est passée de 83% à 92% entre 2015 et 2023, ainsi que la subvention de la prise en charge des cancers féminins ont contribué à une baisse notable de la mortalité maternelle. Et surtout, la distance d’accès aux centres de santé a été réduite.

« En matière d’autonomisation économique, l’accent a été mis sur une meilleure inclusion des femmes et des filles dans le secteur agricole et financier. Elles ont ainsi bénéficié de financements publics à des taux préférentiels et d’au moins 30% des superficies agricoles nouvellement aménagées par l’État. En 2020 et 2024, plus de 500 000 femmes ont bénéficié de crédits du Fonds d’appui des activités ruminatrices des femmes pour un montant global estimé à près de 200 millions de dollars US », a confié la ministre.

Concernant la gouvernance, elle a indiqué que la représentation féminine au Parlement et d’autres instances de décision ont connu une nette amélioration. Toutefois, Mme Kaboré a reconnu qu’en dépit des efforts et des acquis indéniables, de nombreux défis subsistent, notamment du fait du contexte sécuritaire difficile et des déplacements forcés de populations qui en résident. En réponse à ces difficultés, elle a insisté que le Burkina Faso a adopté une stratégie nationale de relèvement des personnes déplacées internes et des communautés hautes, intégrant une approche sensible aux cas.

« A moyen et long terme, mon pays entame renforcer l’autonomisation économique et l’entreprenariat féminin, intensifier la lutte contre les violences faites aux femmes et aux filles ainsi que les pratiques néfastes telles que la mutilation génitale féminine et le mariage forcé, améliorer l’accès aux soins de santé maternelle et infantile, promouvoir l’accès des femmes aux sphères de décision et aux infrastructures de base », a-t-elle indiqué.

Agence d’information du Burkina

BBP/BZ"
5,"L’AES se retire de la CPI, « un instrument de répression néocoloniale »","Burkina-Mali-Niger-Justice-CPI-Retrait

L’AES se retire de la CPI, « un instrument de répression néocoloniale »

Ouagadougou, 22 sept. 2025 (AIB)-Le Burkina Faso, le Mali et le Niger, réunis au sein de la Confédération des États du Sahel (AES), ont annoncé lundi, leur retrait immédiat du Statut de Rome de la Cour pénale internationale (CPI), dénonçant une juridiction devenue, «un instrument de répression néocoloniale aux mains de l’impérialisme».

L’annonce a été faite lundi soir sur la télévision publique burkinabè par le porte-parole du gouvernement burkinabè Gilbert Pingdwendé Ouédraogo qui a lu un communiqué conjoint.

La Cour pénale internationale a fait preuve de «justice sélective», incapable de juger des crimes graves tout en s’acharnant sur certains acteurs en dehors du «cercle fermé des bénéficiaires de l’impunité internationale», a déclaré le ministre.

Selon Gilbert Pingdwendé Ouédraogo, l’AES va privilégier désormais des mécanismes endogènes pour la paix, la justice et la protection des droits humains, en conformité avec ses valeurs sociétales.

La confédération réaffirme toutefois sa disponibilité à coopérer dans d’autres cadres appropriés, tout en remerciant l’ONU et les États membres pour leur soutien.

En rappel le Burkina Faso, le Mali et le Niger avaient respectivement ratifié le Statut de Rome de la CPI en 2004, en 2000 et en 2002.

Agence d’information du Burkina 

ATA/bbp"
6,"Burkina : le Mouvement pour la culture de la paix et l’amour de la patrie offre 5 tonnes de ciment ","Burkina-Faso-Mêbo-Soutien

Burkina : le Mouvement pour la culture de la paix et l’amour de la patrie offre 5 tonnes de ciment 

Ouagadougou, 21e sept2025 (AIB)- A l’occasion de la célébration de la journée internationale de la paix, le Mouvement pour la culture de la paix et l’amour de la patrie (MCPAP) a offert, ce dimanche 21 septembre 2025, 5 tonnes de ciment à l’initiative présidentielle Faso Mêbo.

« Dans le cadre de la journée internationale de la paix, nous avons tenu à apporter notre contribution à l’initiative présidentielle Faso Mêbo pour l’édification de notre pays », a affirmé le trésorier du mouvement, Serge Théophile de la Paix Batiébo.

Selon lui, ce don composé de 5 tonnes de ciment a été possible grâce à des fonds collectés lors d’un gala de charité.

Serge Théophile de la paix Batiebo a par ailleurs souligné qu’en plus du don, les membres du mouvement prêteront leur force physique pour la construction du pays.

« L’initiative Faso Mêbo est un moyen pour chaque citoyen de participer directement au développement du Burkina », a-t-il souligné.

M. Batiebo a invité l’ensemble de la population à mettre la main dans la pâte, soutenant que « c’est un acte de patriotisme, d’amour pour sa patrie ».

Le Mouvement pour la culture de la paix et l’amour de la patrie est une association à but non lucratif, apolitique et qui prône le vivre- ensemble des citoyens, la promotion de la paix et l’amour de la patrie.

Agence d’Information du Burkina 

FT/yos"
7,"Bobo-Dioulasso : l’initiative présidentielle Faso Mêbo officiellement lancée dans les arrondissements","Bobo-Dioulasso : l’initiative présidentielle Faso Mêbo officiellement lancée dans les arrondissements

Bobo-Dioulasso, 20 sept. 2025 (AIB)-Le président de la Délégation spéciale de la commune de Bobo-Dioulasso, M. Laurent K. Kontogom, a procédé samedi au lancement officiel de l’initiative présidentielle Faso Mêbo dans les arrondissements de la ville, en présence des responsables locaux et des populations mobilisées.

La cérémonie de lancement a eu lieu à l’arrondissement 6, avant que le président de la Délégation spéciale communale et sa suite n’effectuent une tournée de suivi dans les arrondissements 7, 2, 3, 4 et 1 pour constater le bon déroulement des travaux.

Selon M. Laurent K. Kontogom, l’esprit de cette initiative est d’accélérer la cadence du pavage et de l’embellissement des artères de la ville, afin que les résultats soient visibles dans un délai rapproché.

« Il s’agit pour nous de faire en sorte que nous allions plus vite et mieux dans le pavage et l’embellissement de nos rues. J’appelle les habitants de Bobo-Dioulasso à se rendre immédiatement sur le site le plus proche de chez eux pour apporter leur contribution, afin que l’activité puisse bien se dérouler. Nous espérons que d’ici quelque temps, nous verrons le visage de nos rues changer dans les arrondissements », a-t-il déclaré.

Dans l’arrondissement 7, la mobilisation de la population a été saluée par le président de la Délégation spéciale dudit arrondissement, M. Souleymane Sanon.

« Très tôt le matin, à 7h, les habitants ont pris d’assaut le lieu indiqué pour le démarrage des travaux. Nous avons trois secteurs, le 21, le 22 et le 29, qui se sont unis comme un seul homme pour participer au lancement. C’est une joie immense pour nous », s’est-il réjoui.

M. Sanon a toutefois invité les habitants à maintenir cet élan au-delà du lancement officiel. « Je demande à la population de continuer à sortir pour que le travail se poursuive », a-t-il insisté.

À cette occasion, la Veille citoyenne était également présente pour accompagner l’initiative. Le conseiller de la Coordination nationale de la Veille citoyenne, section Houet, M. Salifou Ouédraogo, a souligné l’importance de l’engagement citoyen.

« Nous sommes là pour travailler. Si nous travaillons sincèrement à Faso Mêbo, nous rendrons notre pays beau et vivable. C’est ainsi que des visiteurs quitteront l’Europe pour venir découvrir notre pays », a-t-il affirmé.

Pour rappel, Faso Mêbo, littéralement « bâtir ma Patrie », est une initiative présidentielle visant à reconstruire le Burkina Faso, avec une forte implication des populations.

Agence d’Information du Burkina

AB/ATA"
8,"Ouagadougou : Des Yarcés, des Peulhs et des Forgerons offrent du ciment et du matériel à Faso Mêbo ","Ouagadougou : Des Yarcés, des Peulhs et des Forgerons offrent du ciment et du matériel à Faso Mêbo 

Ouagadougou, 21 septembre 2025 (AIB)- L’association de la parenté à plaisanterie Yarga-Peulh-Forgeron a soutenu l’initiative présidentielle Faso Mêbo, ce dimanche, avec 22 sacs de ciment, 3 brouettes, 2 paquets de gants et 3 lots de pelles.

« La parenté à plaisanterie est déjà un pilier de développement, mais nous avons tenu à apporter notre pierre pour consolider la construction de notre pays », a déclaré le président de l’association, Abdoul Rahim Bagagna.

Selon lui, ce don est le fruit de la contribution des trois communautés de l’association.

M. Bagagna a souligné que « cette initiative est une réponse à l’appel du Président du Faso pour la construction d’un Burkina meilleur, ensemble ».

Dans le contexte actuel, la mission principale de la parenté à plaisanterie est de promouvoir la paix, la cohésion sociale et la culture, a-t-il indiqué.

Abdoul Rahim Bagagna a lancé un appel à toutes les associations, au Burkina Faso et à l’international, à se joindre à la construction d’un Burkina meilleur.

« Quand le pays est en paix, les associations de parenté à plaisanterie peuvent jouer pleinement leur rôle », a-t-il conclu.

Après le don, les membres de l’association ont prêté main forte aux travailleurs de Faso Mêbo.

Agence d’Information du Burkina

FT/ata"
9,"Kampti : 2 610 000 F CFA de kits scolaires à distribuer à 220 élèves du CDEJ BF0956","Kampti : 2 610 000 F CFA de kits scolaires à distribuer à 220 élèves du CDEJ BF0956

Kampti, 20 sept. 2025 (AIB) – Cent soixante (160) élèves du Centre de Développement pour Enfants et Jeunes (CDEJ) BF0956 de Kampti ont reçu, ce samedi 20 septembre, des kits scolaires, sous la supervision du directeur Nadomè Farma, du président du comité de gestion, Hien Bêbê Jérémie, et de Mme Mariette Kambiré, représentant le comité de pilotage.

Le directeur Nadomè Farma a qualifié ce geste de grande portée sociale et éducative. « Voir autant d’élèves sourire et se préparer sereinement à la rentrée scolaire grâce à la solidarité de la communauté et des partenaires nous comble de joie », a-t-il déclaré. M. Farma a remercié le comité de gestion, le comité de pilotage et tous les bienfaiteurs qui ont permis de mobiliser 2 610 000 F CFA.

« Nous nous engageons à ce que les soixante (60) autres bénéficiaires reçoivent leurs kits avant le 25 septembre, afin qu’aucun enfant, du CM1 à la classe de seconde, ne soit laissé pour compte. Cette action traduit notre détermination commune à investir dans l’avenir de nos enfants », a-t-il ajouté.

Représentant ses camarades bénéficiaires, l’élève de seconde, Oho Inôbô Évelyne Hien, a exprimé une vive satisfaction. « Nous sommes très heureux et profondément reconnaissants. Ces kits nous aideront à mieux préparer notre année scolaire et à travailler avec plus de confiance », a-t-elle affirmé.

Elle a adressé, au nom de ses camarades, ses remerciements au CDEJ, à ses responsables et à toutes les bonnes volontés : « Votre soutien montre que vous croyez en notre avenir et nous donne l’envie de redoubler d’efforts pour réussir et mériter votre confiance ».

Les bénéficiaires de ces dons scolaires sont des élèves allant du CM1 à la classe de première.

Agence d’Information du Burkina

HN/ata"
10,"Italie : Inauguration du Parc Thomas Sankara à Rome","Italie : Inauguration du Parc Thomas Sankara à Rome

Ouagadougou, 21 sept. 2025 (AIB)-La capitale italienne a rendu hommage au Président du Faso de 1983 à 1987 et père de la Révolution burkinabè, en inaugurant officiellement, le mercredi 17 septembre 2025, le Parc Thomas Sankara, situé sur la Via Ugo Della Seta, dans le quartier Montesacro.

La cérémonie de baptême organisée par la municipalité du troisième arrondissement de Rome, a été placée sous le signe de la mémoire et de la reconnaissance.

Elle traduit la volonté de la métropole romaine de promouvoir les valeurs défendues par le capitaine Thomas Sankara, à savoir la solidarité, l’intégrité, l’émancipation des masses populaires, la dignité humaine et l’amitié.

Reconnu à travers le monde comme un homme de conviction attaché à son peuple et à la justice, Thomas Sankara demeure une figure universelle dont l’héritage dépasse les frontières du Burkina Faso et du continent africain.

Dans son allocution, l’ambassadrice du Burkina Faso en Italie, Cyrille Ganou/Badolo, a rappelé que le leader visionnaire burkinabè « demeure à juste titre un citoyen du monde », symbole de fierté, de courage et d’intégrité.

Elle a invité les usagers du parc à préserver ce lieu de mémoire, qui incarne l’engagement et la vision d’un avenir différent pour l’Afrique et pour le monde.

La cérémonie s’est déroulée en présence de Leurs Excellences Yacouba Diakité et Oumar Ibrahim Sidi, ambassadeurs du Mali et du Niger, venus témoigner leur solidarité, du président de la municipalité de Rome, Paolo Marchionne, ainsi que de Matteo Pietrosante, initiateur du projet.

Étaient également présents le personnel de l’ambassade du Burkina Faso en Italie, des membres de la diaspora burkinabè, ainsi que de nombreux citoyens romains admirateurs du président Thomas Sankara.

Agence d’Information du Burkina

OS/ATA

Source : Ambassade du Burkina Faso en Italie."
