id,title,text_clean
1,baler association assainit service public bagassi,burkina balé citoyenner assainissemer balé association assainit service public bagassi bagassi membre association jeune solidaire progrès ajsp appuyer brigade vert mairie bagassi organiser samedi septembre journée salubrité local csp inspection éducation base commune csp bagassi service inspection éducation site bénéficier action citoyen inspection travail porter fois assainissement cour nettoyage minutieux intérieur bureau balais brouette houe main jeune redonner cadre propre accueillir espace administratif demande chef circonscription éducation activité être élargir opération reboisement membre ajsp bénéficier appui technique service environnement président ajsp initiative vise joindre propreté protection environnement action citoyen encourager multiplier améliorer cadre vie commune mairie mettre brigade vert contribution saluer mobilisation jeunesse part cceb exprimer satisfaction encourager continuité initiative ambiance convivial participant clôturer journée sentiment accomplir geste utile communauté agencer information burkina yo
2,balé commune fara investir domaine environnement eau,balé commune fara investir domaine environnement eau fara délégation spécial commune fara tenir session cadre concertation mercredi septembre acteur bilan investissement période espace dialogue participation citoyen transparence gestion affaire commune connaître participation représentant couche haut commissaire province martin bako bilan investissement être présenter sécrétaire général mairie mohamadi zongo ressortir fcfer être injecter domaine éducation santé infrastructure routier aménagement jardin lampadaire investissement être assurer fond minier développement local pgpc budget communal pudtr domaine environnement eau enregistrer investissement suivre éducation chantier perspective travail construction salle conférence mairie réalisation parc vaccination travail construction plateau omnisports stade communal zonou issa bilan échange interactif contribuer éclairer sensibiliser membre cadre convenir développement endogène meilleur réalité fille fil commune unir meilleur implication population développement local recommandation être faire autorité local fille fil commune prendre bon note prendre engagement mieux travailler édification commune fara préfet président délégation spécial commune aloy ouango prononcer mot bienvenue ouverture session haut commissaire inviter special cadre exhorter population soutenir initiative gouvernement apporter initiative développement local endogène prôné autorité pays agencer information burkina yo
3,dissihn domsèr accueillir directeur ecol,burkina ioba education installation directeur dissihn domsèr accueillir directeur ecole dissihn enseignant directeur école domsèr commune dissihn joachim bama être accueillir joie population lundi septembre population domsèr sortir nombreux occasion installation enseignant école localité inspecteur yaonkirè isidore somer représentant chef circonscription éducation base cceb dissihn directeur promettre mettre œuvre politique éducatif national localité chef domsèr souhaiter bienvenue enseigner affecter village inquiet partir fils rassurer représentant cceb féliciter directeur installé prodiguer conseil réussite nouveau mission bama lourde charge instruire enfant domsèr jadis parcourir kilomètre acquérir savoir salle classe construire école fonctionner paillote attendre édification bâtiment construction infrastructure scolaire prévoir population rassembler agrégat agencer information burkina jbd yo
4,burkina conférence mondial femme amélioration condition vie femme burkina réitérer engagement,burkina siège onu participation conférence mondial femme burkina conférence mondial femme amélioration condition vie femme burkina réitérer engagement ouagadougou ministre action humanitaire solidarité national pélagie kaboré porter haut voix burkina engagement continuer œuvrer offrir meilleur condition vie femme réunion haut niveau anniversaire conférence mondial femme tenir new york siège onu ministre action humanitaire solidarité national pélagie kaboré livrer discours tribune onu lundi septembre new york réunion haut niveau anniversaire conférence mondial femme intervention relever burkina faso engager réforme structurel vue améliorer durablement condition vie particulier femme conformément programme action beijing engagement traduire renforcement cadre juridique institutionnel initiative viser autonomisation femme pleine participation sphère décision pair expert personne engager meilleur condition vie femme mme kaboré preciser action entreprendre permettre avancée significatif explicité domaine éducation taux brut scolariation fille fortement progresser niveau présence féminin croissant enseignement supérieur matière santé égelement savoir gratuité soin femme enceinte hausse taux accouchement assisté passer subvention prise charge cancer féminin contribuer baisse notable mortalité maternel distance accès centre santé être réduire matière autonomisation économique accent être mettre meilleur inclusion femme fille secteur agricole financier bénéficier financement public taux préférentiel superficie agricole nouvellement aménager état femme bénéficier crédit fonds appui activité ruminatrice femme montant global estimer million dollar confier ministre gouvernance indiquer représentation féminin parlement instance décision connaître nette amélioration toutefois mme kaboré reconnaître dépit effort acquis indéniable défi subsistent contexte sécuritaire difficile déplacement forcer population résident réponse difficulté insister burkina faso adopter stratégie national relèvement personne déplacer interne communauté haute intégrer approche sensible cas moyen long terme pays entame renforcer autonomisation économique entreprenariat féminin intensifier lutte contre violence fait femme fille pratique néfaste mutilation génital féminin mariage forcer améliorer accès soin santé maternel infantile promouvoir accès femme sphère décision infrastructure base indiquer agencer information burkina bbp
5,ae retirer cpi instrument répression néocolonial,burkina mali niger justice cpi retraire ae retirer cpi instrument répression néocolonial ouagadougou burkina faso mali niger réunir sein confédération état sahel ae annoncer lundi retrait immédiat statut rome cour pénal international cpi dénoncer juridiction devenir instrument répression néocolonial main impérialisme annonce être faire lundi soir télévision public burkinabè gouvernement burkinabè gilbert pingdwender ouédraogo communiquer conjoint cour pénal international preuve justice sélectif incapable juger crime grave acharner acteur cercle fermer bénéficiaire impunité international déclarer ministre gilbert pingdwender ouédraogo ae privilégier mécanisme endogène paix justice protection droit humain conformité valeur sociétal confédération réaffirmer toutefois disponibilité coopérer cadre approprié remercier onu état membre soutien rappel burkina faso mali niger respectivement ratifier statut rome cpi agencer information burkina ata bbp
6,burkina mouvement culture paix amour patrie offrir tonne cimer,burkina faso mêbo soutien burkina mouvement culture paix amour patrie offrir tonne cimer ouagadougou occasion célébration journée international paix mouvement culture paix amour patrie mcpap offrir dimanche septembre tonne ciment initiative présidentiel faso mêbo cadre journée international paix tenir apporter contribution initiative présidentiel faso mêbo édification pays affirmer trésorier mouvement serge théophil paix batiébo don composer tonne ciment être grâce fonds collecter gala charité serge théophil paix batiebo ailleurs souligner don membre mouvement prêter force physique construction pays initiative faso mêbo moyen citoyen participer développement burkina souligner batiebo inviter ensemble population mettre main pâte soutenir acte patriotisme amour patrie mouvement culture paix amour patrie association but non lucratif apolitique prône ensemble citoyen promotion paix amour patrie agencer information burkina yo
7,bobo dioulasso initiative présidentiel faso mêbo officiellement lancer arrondissement,bobo dioulasso initiative présidentiel faso mêbo officiellement lancer arrondissement bobo dioulasso président délégation spécial commune bobo dioulasso laurent kontogom procéder samedi lancement officiel initiative présidentiel faso mêbo arrondissement ville présence responsable local population mobiliser cérémonie lancement lieu arrondissement président délégation spécial communal suite effectuer tournée suivi arrondissement constater bon déroulement travail laurent kontogom esprit initiative accélérer cadence pavage embellissement artère ville résultat être visible délai rapprocher agir faire sorte allier vite mieux pavage embellissement rue appeler habitant bobo dioulasso immédiatement site apporter contribution activité pouvoir bien dérouler espérer ici temps voir visage rue changer arrondissement déclarer arrondissement mobilisation population être saluer président délégation spécial dudit arrondissement souleymane sanon tôt matin habitant prendre assaut lieu indiquer démarrage travail secteur unir homme participer lancement joie immense réjouir sanon toutefois inviter habitant maintenir élan lancemer officiel demande population continuer sortir travail poursuivre insister occasion veille citoyen présent accompagner initiativ conseiller coordination national veille citoyen section houet salifou ouédraogo souligner importance engagement citoyen être travailler travailler sincèremer faso mêbo rendre pays beau vivable visiteur quitter europ venir découvrir pays affirmer rappel faso mêbo littéralement bâtir patrie initiative présidentiel viser reconstruire burkina faso fort implication population agencer information burkina ata
8,ouagadougou yarcé peulh forgeron offrir ciment matériel faso mêbo,ouagadougou yarcé peulh forgeron offrir ciment matériel faso mêbo ouagadougou septembre association parenté plaisanterie yarga peulh forgeron soutenir initiative présidentiel faso mêbo dimanche sac ciment brouette paquet gant lot pelle parenté plaisanterie pilier développement tenir apporter pierre consolider construction pays déclarer président association abdoul rahim bagagna don fruit contribution communauté association bagagna souligner initiative réponse appel président faso construction burkina meilleur ensembl contexte actuel mission principal parenté plaisanterie promouvoir paix cohésion social culture indiquer abdoul rahim bagagna lancer appel association burkina faso international joindre construction burkina meilleur pays paix association parenté plaisanterie jouer pleinement rôle conclure don membre association prêter main fort travailleur faso mêbo agencer information burkina ata
9,kampti cfer kit scolaire distribuer élève cdej,kampti cfer kit scolaire distribuer élève cdej kampti aib élève centre développement enfant jeune cdej kampti recevoir samedi septembre kit scolaire supervision directeur nadomè farma président comité gestion hien bêbê jérémi mme mariett kambiré représentant comité pilotage directeur nadomè farmer qualifier geste grand portée social éducatif voir autant élève sourir préparer sereinement rentrée scolaire grâce solidarité communauté partenaire comble joie déclarer farma remercier comité gestion comité pilotage bienfaiteur permettre mobiliser cfer engager bénéficiaire recevoir kit septembre aucun enfant classe second laisser compte action traduire détermination commun investir avenir enfant ajouté représentant camarade bénéficiaire élever second oho inôbö évelyn hien exprimer vif satisfaction être heureux profondément reconnaissant kit aider mieux préparer année scolaire travailler confiance affirmer adresser nom camarade remerciement cdej responsable bon volonté soutien montr croire avenir donne envie redoubler effort réussir mériter confiance bénéficiaire don scolaire élève aller classe agencer information burkina ata
10,italie inauguration parc thomas sankarer rome,italie inauguration parc thomas sankarer rome ouagadougou capital italien rendre hommage président faso père révolution burkinabè inaugurer officiellement mercredi septembre parc thomas sankara situer ugo deller seta quartier montesacro cérémonie baptême organiser municipalité arrondissement rome être placer signe mémoire reconnaissance traduire volonté métropole romain promouvoir valeur défendre capitaine thomas sankara savoir solidarité intégrité émancipation masse populaire dignité humain amitié reconnaître travers monde homme conviction attacher peuple justice thomas sankara demeure figure universel héritage dépasser frontière burkina faso continent africain allocution ambassadric burkina faso italie cyrill ganou badolo rappeler leader visionnaire burkinabè demeur titre citoyen monde symbole fierté courage intégrité inviter usager parc préserver lieu mémoire incarner engagement vision avenir afrique monde cérémonie dérouler présence excellence yacouba diakité oumar ibrahim sidi ambassadeur mali niger venir témoigner solidarité président municipalité rome paolo marchionn matteo pietrosante initiateur projet présent personnel ambassad burkina faso italie membre diaspora burkinabè citoyen romain admirateur président thomas sankara agencer information burkina ata source ambassade burkina faso italie
